sex,race,birth_cohort,slope_per_year,r_squared,n_cycles
Female,Mexican American,1930–1934,0.08076368292053675,0.8961803255791041,4
Female,Mexican American,1935–1939,0.049621382998105555,0.9110030066773384,7
Female,Mexican American,1940–1944,0.036769189687700814,0.700954120635129,7
Female,Mexican American,1945–1949,0.04098733355210832,0.8726934020627803,6
Female,Mexican American,1950–1954,0.034419750069459125,0.9007870105060283,10
Female,Mexican American,1955–1959,0.031089640748877684,0.9449536753244936,8
Female,Mexican American,1960–1964,0.03052412560286247,0.913409608126815,10
Female,Mexican American,1965–1969,0.021923828057815533,0.8998831286449442,8
Female,Mexican American,1970–1974,0.014192886211268229,0.5942579282685574,7
Female,Mexican American,1975–1979,0.0004662235971885192,0.0037310935588481422,3
Female,Non-Hispanic Black,1925–1929,0.07235013078893848,0.9933612416653037,3
Female,Non-Hispanic Black,1930–1934,0.051718966935989395,0.9892472277941026,3
Female,Non-Hispanic Black,1935–1939,0.06814614893210745,0.9822023960676531,9
Female,Non-Hispanic Black,1940–1944,0.040040390830593464,0.7928578237507671,10
Female,Non-Hispanic Black,1945–1949,0.03471443265539474,0.7461913706132446,10
Female,Non-Hispanic Black,1950–1954,0.026885506114253947,0.7455099605437248,10
Female,Non-Hispanic Black,1955–1959,0.034295619674463866,0.8787428618178772,10
Female,Non-Hispanic Black,1960–1964,0.026983208529740715,0.9619867181944326,10
Female,Non-Hispanic Black,1965–1969,0.02590475080035759,0.7356935667841918,9
Female,Non-Hispanic Black,1970–1974,0.011015635099887164,0.2863670224467369,6
Female,Non-Hispanic Black,1975–1979,-0.004321588434566787,0.12161874489604071,4
Female,Non-Hispanic White,1915–1919,0.06801339900457415,0.4121971660591617,3
Female,Non-Hispanic White,1920–1924,0.066568551308591,0.8703349056827796,4
Female,Non-Hispanic White,1925–1929,0.046883194729740826,0.7560899760530736,5
Female,Non-Hispanic White,1930–1934,0.0729591934885159,0.9542633417001686,8
Female,Non-Hispanic White,1935–1939,0.05070788124709917,0.8831077409209096,10
Female,Non-Hispanic White,1940–1944,0.039942590800774114,0.8652040683851596,10
Female,Non-Hispanic White,1945–1949,0.043686213001311536,0.9386040842786036,10
Female,Non-Hispanic White,1950–1954,0.029743540674937043,0.9021465105322798,10
Female,Non-Hispanic White,1955–1959,0.033251353208620896,0.8298296234589194,10
Female,Non-Hispanic White,1960–1964,0.026533379529935824,0.8318809758397148,10
Female,Non-Hispanic White,1965–1969,0.02595419030482969,0.8443835327562144,9
Female,Non-Hispanic White,1970–1974,0.016357403435296854,0.5924177961902282,7
Female,Non-Hispanic White,1975–1979,-0.013416191898304196,0.5436116606615412,5
Female,Other Hispanic,1940–1944,0.04595686905985838,0.9936730643259665,3
Female,Other Hispanic,1945–1949,0.05665490879063334,0.7826030865053334,5
Female,Other Hispanic,1950–1954,0.0343057281746807,0.8656008167357411,6
Female,Other Hispanic,1955–1959,0.029702482678525842,0.891781694608968,5
Female,Other Hispanic,1960–1964,0.017750533437414586,0.4147078131658775,6
Female,Other Hispanic,1965–1969,0.013060571491670324,0.8792854269700345,4
Female,Other Hispanic,1970–1974,0.025235914043241044,0.36091064586803734,5
Female,Other Hispanic,1975–1979,-0.024290284474790175,0.6745769249281706,3
Female,Other/Multi-Racial,1945–1949,-0.01974383129989971,0.7093033362839675,4
Female,Other/Multi-Racial,1950–1954,-0.00021965513697143826,2.6327899116138625e-05,4
Female,Other/Multi-Racial,1955–1959,-0.011446198253148354,0.9939398266381045,3
Female,Other/Multi-Racial,1960–1964,0.008308162553409439,0.06393642824668476,4
Female,Other/Multi-Racial,1965–1969,0.008354141384958774,0.4775093029611332,5
Female,Other/Multi-Racial,1970–1974,0.004607463887946968,0.06944017420216517,4
Female,Other/Multi-Racial,1975–1979,0.006425870542154878,0.09732249401725118,4
Male,Mexican American,1925–1929,0.08102465831601371,0.7472991759818938,3
Male,Mexican American,1930–1934,0.049678867906221315,0.9603758281971858,3
Male,Mexican American,1935–1939,0.04969830692788541,0.9541432210489521,5
Male,Mexican American,1940–1944,0.05525053894944454,0.9045596994066765,7
Male,Mexican American,1945–1949,0.03158669783743989,0.569870932056991,9
Male,Mexican American,1950–1954,0.03378227497065238,0.923269655810549,9
Male,Mexican American,1955–1959,0.026266556758265735,0.7242413517299985,10
Male,Mexican American,1960–1964,0.03576634312937843,0.9016362655240495,9
Male,Mexican American,1965–1969,0.03103696107064377,0.9656388901884473,8
Male,Mexican American,1970–1974,0.018677364421650692,0.7558536740482527,6
Male,Mexican American,1975–1979,-0.008761283630851558,0.37088358288384893,4
Male,Non-Hispanic Black,1930–1934,0.06851188761815928,0.8560351686348728,6
Male,Non-Hispanic Black,1935–1939,0.05060114186975279,0.7226157108419733,10
Male,Non-Hispanic Black,1940–1944,0.04971300665227358,0.719573756285423,9
Male,Non-Hispanic Black,1945–1949,0.042934139451241665,0.9016752062252874,10
Male,Non-Hispanic Black,1950–1954,0.0355632980796147,0.921567371187892,10
Male,Non-Hispanic Black,1955–1959,0.03137455543527637,0.740478811272507,10
Male,Non-Hispanic Black,1960–1964,0.038352591712483786,0.9201760587214131,10
Male,Non-Hispanic Black,1965–1969,0.02375523255644001,0.5778630311960106,9
Male,Non-Hispanic Black,1970–1974,0.016303823514170538,0.3611603092566326,6
Male,Non-Hispanic Black,1975–1979,-0.019837511310133737,0.9344611737716374,4
Male,Non-Hispanic White,1915–1919,0.13516313335709684,0.5486509501329117,3
Male,Non-Hispanic White,1920–1924,0.05070641701344153,0.8946311588252811,4
Male,Non-Hispanic White,1925–1929,0.06854254073550385,0.9209727700669375,5
Male,Non-Hispanic White,1930–1934,0.07314025582767324,0.9565052167006959,8
Male,Non-Hispanic White,1935–1939,0.06084919497469222,0.8732048718197016,10
Male,Non-Hispanic White,1940–1944,0.04502238008960227,0.9151502242938736,10
Male,Non-Hispanic White,1945–1949,0.04674545791897593,0.9083346304473591,10
Male,Non-Hispanic White,1950–1954,0.03544422360678902,0.8892093406052706,10
Male,Non-Hispanic White,1955–1959,0.03462828130070414,0.8677911731898607,10
Male,Non-Hispanic White,1960–1964,0.030725788846743516,0.8930425857633246,10
Male,Non-Hispanic White,1965–1969,0.027910664527311592,0.9167572879446713,9
Male,Non-Hispanic White,1970–1974,0.02596252736814876,0.692199871117332,7
Male,Non-Hispanic White,1975–1979,-0.01240647942091814,0.21132833669653542,4
Male,Other Hispanic,1945–1949,0.05302895709768386,0.639425029429826,4
Male,Other Hispanic,1950–1954,0.030739606091836385,0.28998614406129186,6
Male,Other Hispanic,1955–1959,0.013612912171135786,0.33489442465020897,4
Male,Other Hispanic,1960–1964,0.02907485070108399,0.8490911563556712,5
Male,Other Hispanic,1965–1969,0.04431444591946614,0.8255167739421693,5
Male,Other Hispanic,1970–1974,0.02289363126675548,0.8607948403318726,4
Male,Other/Multi-Racial,1945–1949,0.05198451280629557,0.516680420527007,3
Male,Other/Multi-Racial,1950–1954,0.02306052668262332,0.383369765602916,4
Male,Other/Multi-Racial,1955–1959,0.024737777994186288,0.9615240493893051,4
Male,Other/Multi-Racial,1960–1964,0.00033166451103419436,0.00011239828831861333,4
Male,Other/Multi-Racial,1965–1969,-0.004624077515740911,0.025408939920790137,4
Male,Other/Multi-Racial,1970–1974,0.00620744010719404,0.020545493971747864,4
Male,Other/Multi-Racial,1975–1979,0.011221533921002268,0.5034789344128062,4
