AGE_GROUP,SEX,n,pct_intermediate_plus,pct_high
35-39,Female,2128.0,1.8327067669172932,0.28195488721804507
35-39,Male,1929.0,4.821150855365474,0.5702436495593572
40-44,Female,2240.0,5.178571428571429,0.40178571428571425
40-44,Male,1995.0,9.974937343358397,0.9022556390977444
45-49,Female,2068.0,9.18762088974855,0.6286266924564796
45-49,Male,1924.0,17.983367983367984,1.7151767151767152
50-54,Female,2016.0,18.055555555555554,1.2896825396825395
50-54,Male,1991.0,29.33199397287795,2.3103967855349072
55-59,Female,1694.0,28.57142857142857,2.0070838252656436
55-59,Male,1628.0,43.304668304668304,3.501228501228501
60-64,Female,2295.0,42.4400871459695,2.265795206971678
60-64,Male,2228.0,54.30879712746858,5.071813285457809
65-69,Female,1692.0,55.55555555555556,3.0732860520094563
65-69,Male,1730.0,69.1907514450867,6.358381502890173
70-74,Female,1492.0,70.71045576407506,6.099195710455764
70-74,Male,1536.0,80.33854166666666,9.049479166666668
75-79,Female,1048.0,81.20229007633588,8.778625954198473
75-79,Male,1126.0,90.76376554174067,16.25222024866785
80+,Female,1761.0,89.55139125496878,18.228279386712096
80+,Male,1599.0,93.74609130706692,24.953095684803
