AGE_GROUP,SEX,RACE,n,pct_high
35-39,Female,Mexican American,400.0,0.75
35-39,Female,Non-Hispanic Black,406.0,0.49261083743842365
35-39,Female,Non-Hispanic White,901.0,0.11098779134295228
35-39,Male,Mexican American,388.0,0.7731958762886598
35-39,Male,Non-Hispanic Black,350.0,1.4285714285714286
35-39,Male,Non-Hispanic White,817.0,0.24479804161566704
40-44,Female,Mexican American,492.0,0.0
40-44,Female,Non-Hispanic Black,491.0,0.6109979633401221
40-44,Female,Non-Hispanic White,827.0,0.6045949214026602
40-44,Male,Mexican American,426.0,0.9389671361502347
40-44,Male,Non-Hispanic Black,408.0,1.4705882352941175
40-44,Male,Non-Hispanic White,804.0,0.7462686567164178
45-49,Female,Mexican American,361.0,0.8310249307479225
45-49,Female,Non-Hispanic Black,478.0,0.6276150627615062
45-49,Female,Non-Hispanic White,855.0,0.7017543859649122
45-49,Male,Mexican American,336.0,2.6785714285714284
45-49,Male,Non-Hispanic Black,412.0,3.1553398058252426
45-49,Male,Non-Hispanic White,834.0,0.9592326139088728
50-54,Female,Mexican American,331.0,0.6042296072507553
50-54,Female,Non-Hispanic Black,428.0,1.8691588785046727
50-54,Female,Non-Hispanic White,838.0,1.1933174224343674
50-54,Male,Mexican American,328.0,3.353658536585366
50-54,Male,Non-Hispanic Black,406.0,1.9704433497536946
50-54,Male,Non-Hispanic White,879.0,2.2753128555176336
55-59,Female,Mexican American,244.0,1.639344262295082
55-59,Female,Non-Hispanic Black,386.0,3.6269430051813467
55-59,Female,Non-Hispanic White,728.0,1.3736263736263736
55-59,Male,Mexican American,235.0,3.829787234042553
55-59,Male,Non-Hispanic Black,340.0,4.117647058823529
55-59,Male,Non-Hispanic White,752.0,3.590425531914894
60-64,Female,Mexican American,479.0,2.9227557411273484
60-64,Female,Non-Hispanic Black,550.0,2.5454545454545454
60-64,Female,Non-Hispanic White,833.0,1.56062424969988
60-64,Male,Mexican American,458.0,4.366812227074235
60-64,Male,Non-Hispanic Black,567.0,6.525573192239858
60-64,Male,Non-Hispanic White,818.0,4.156479217603912
65-69,Female,Mexican American,332.0,4.216867469879518
65-69,Female,Non-Hispanic Black,333.0,1.8018018018018018
65-69,Female,Non-Hispanic White,717.0,2.2315202231520224
65-69,Male,Mexican American,303.0,4.62046204620462
65-69,Male,Non-Hispanic Black,445.0,9.887640449438202
65-69,Male,Non-Hispanic White,698.0,5.157593123209169
70-74,Female,Mexican American,225.0,7.111111111111111
70-74,Female,Non-Hispanic Black,251.0,6.374501992031872
70-74,Female,Non-Hispanic White,789.0,5.576679340937896
70-74,Male,Mexican American,212.0,7.0754716981132075
70-74,Male,Non-Hispanic Black,241.0,12.033195020746888
70-74,Male,Non-Hispanic White,879.0,8.19112627986348
75-79,Female,Mexican American,118.0,5.932203389830509
75-79,Female,Non-Hispanic Black,191.0,13.089005235602095
75-79,Female,Non-Hispanic White,615.0,8.130081300813007
75-79,Male,Mexican American,137.0,13.138686131386862
75-79,Male,Non-Hispanic Black,192.0,19.270833333333336
75-79,Male,Non-Hispanic White,694.0,15.561959654178676
80+,Female,Mexican American,122.0,19.672131147540984
80+,Female,Non-Hispanic Black,203.0,19.704433497536947
80+,Female,Non-Hispanic White,1291.0,17.58326878388846
80+,Male,Mexican American,102.0,17.647058823529413
80+,Male,Non-Hispanic Black,145.0,30.344827586206897
80+,Male,Non-Hispanic White,1238.0,25.20193861066236
