AGE_GROUP,SEX,n,median_lsm,pct_F01,pct_interm,pct_F34
18-29,Female,1191.0,4.5,94.62636439966414,3.27455919395466,2.0990764063811924
18-29,Male,1218.0,5.0,88.17733990147784,8.374384236453201,3.4482758620689653
30-39,Female,1086.0,4.5,90.23941068139963,6.077348066298343,3.683241252302026
30-39,Male,939.0,5.1,86.90095846645367,7.880724174653888,5.218317358892439
40-49,Female,1037.0,4.6,86.59594985535198,8.19672131147541,5.207328833172613
40-49,Male,937.0,5.1,83.77801494130203,9.818569903948772,6.403415154749199
50-59,Female,1184.0,5.1,81.33445945945947,10.557432432432433,8.108108108108109
50-59,Male,1013.0,5.4,78.08489634748273,11.352418558736426,10.56268509378085
60-69,Female,1481.0,5.0,82.24172856178258,9.723160027008777,8.035111411208643
60-69,Male,1365.0,5.4,76.11721611721612,10.915750915750916,12.967032967032969
70+,Female,1189.0,5.0,85.02943650126157,8.242220353238014,6.72834314550042
70+,Male,1151.0,5.5,77.67158992180713,11.207645525629887,11.120764552562989
