AGE_GROUP,SEX,RACE,n,pct_F34
18-29,Female,Mexican American,154.0,3.2467532467532463
18-29,Female,Non-Hispanic Black,257.0,1.9455252918287937
18-29,Female,Non-Hispanic White,435.0,2.0689655172413794
18-29,Female,Other Hispanic,138.0,0.7246376811594203
18-29,Female,Other/Multi-Racial,207.0,2.4154589371980677
18-29,Male,Mexican American,193.0,3.1088082901554404
18-29,Male,Non-Hispanic Black,240.0,3.75
18-29,Male,Non-Hispanic White,434.0,4.147465437788019
18-29,Male,Other Hispanic,138.0,2.898550724637681
18-29,Male,Other/Multi-Racial,213.0,2.3474178403755865
30-39,Female,Mexican American,123.0,4.0650406504065035
30-39,Female,Non-Hispanic Black,242.0,2.8925619834710745
30-39,Female,Non-Hispanic White,413.0,5.326876513317192
30-39,Female,Other Hispanic,131.0,0.7633587786259541
30-39,Female,Other/Multi-Racial,177.0,2.824858757062147
30-39,Male,Mexican American,125.0,4.8
30-39,Male,Non-Hispanic Black,182.0,3.296703296703297
30-39,Male,Non-Hispanic White,357.0,5.88235294117647
30-39,Male,Other Hispanic,113.0,4.424778761061947
30-39,Male,Other/Multi-Racial,162.0,6.790123456790123
40-49,Female,Mexican American,138.0,5.072463768115942
40-49,Female,Non-Hispanic Black,215.0,6.046511627906977
40-49,Female,Non-Hispanic White,400.0,6.75
40-49,Female,Other Hispanic,106.0,1.8867924528301887
40-49,Female,Other/Multi-Racial,178.0,2.8089887640449436
40-49,Male,Mexican American,107.0,7.476635514018691
40-49,Male,Non-Hispanic Black,197.0,3.5532994923857872
40-49,Male,Non-Hispanic White,375.0,6.933333333333333
40-49,Male,Other Hispanic,86.0,9.30232558139535
40-49,Male,Other/Multi-Racial,172.0,6.395348837209303
50-59,Female,Mexican American,127.0,8.661417322834646
50-59,Female,Non-Hispanic Black,248.0,9.274193548387096
50-59,Female,Non-Hispanic White,472.0,8.26271186440678
50-59,Female,Other Hispanic,141.0,8.51063829787234
50-59,Female,Other/Multi-Racial,196.0,5.612244897959184
50-59,Male,Mexican American,101.0,15.841584158415841
50-59,Male,Non-Hispanic Black,220.0,6.363636363636363
50-59,Male,Non-Hispanic White,397.0,12.594458438287154
50-59,Male,Other Hispanic,113.0,11.504424778761061
50-59,Male,Other/Multi-Racial,182.0,7.6923076923076925
60-69,Female,Mexican American,109.0,12.844036697247708
60-69,Female,Non-Hispanic Black,332.0,7.228915662650602
60-69,Female,Non-Hispanic White,699.0,8.726752503576538
60-69,Female,Other Hispanic,154.0,7.792207792207792
60-69,Female,Other/Multi-Racial,187.0,4.27807486631016
60-69,Male,Mexican American,117.0,11.11111111111111
60-69,Male,Non-Hispanic Black,353.0,13.59773371104816
60-69,Male,Non-Hispanic White,589.0,14.261460101867574
60-69,Male,Other Hispanic,141.0,12.76595744680851
60-69,Male,Other/Multi-Racial,165.0,8.484848484848486
70+,Female,Mexican American,46.0,17.391304347826086
70+,Female,Non-Hispanic Black,165.0,7.2727272727272725
70+,Female,Non-Hispanic White,750.0,5.866666666666666
70+,Female,Other Hispanic,101.0,8.91089108910891
70+,Female,Other/Multi-Racial,127.0,5.511811023622047
70+,Male,Mexican American,49.0,10.204081632653061
70+,Male,Non-Hispanic Black,168.0,5.952380952380952
70+,Male,Non-Hispanic White,734.0,13.079019073569482
70+,Male,Other Hispanic,66.0,7.575757575757576
70+,Male,Other/Multi-Racial,134.0,8.955223880597014
