BIRTH_COHORT,SEX,age_median_2017-2020,age_median_2021-2022,lsm_median_2017-2020,lsm_median_2021-2022,delta_lsm,delta_age,annual_change
1940.0,Female,75.0,80.0,4.9,5.05,0.14999999999999947,5.0,0.029999999999999895
1940.0,Male,76.0,80.0,5.3,5.3,0.0,4.0,0.0
1945.0,Female,71.0,75.0,4.95,4.9,-0.04999999999999982,4.0,-0.012499999999999956
1945.0,Male,71.0,75.0,5.45,5.4,-0.04999999999999982,4.0,-0.012499999999999956
1950.0,Female,66.0,70.0,4.9,5.1,0.1999999999999993,4.0,0.04999999999999982
1950.0,Male,66.0,70.0,5.5,5.3,-0.20000000000000018,4.0,-0.050000000000000044
1955.0,Female,61.0,65.0,5.0,4.95,-0.04999999999999982,4.0,-0.012499999999999956
1955.0,Male,61.0,65.0,5.4,5.6,0.1999999999999993,4.0,0.04999999999999982
1960.0,Female,56.0,60.0,5.1,5.1,0.0,4.0,0.0
1960.0,Male,56.0,60.0,5.3,5.3,0.0,4.0,0.0
1965.0,Female,51.0,55.0,4.9,5.2,0.2999999999999998,4.0,0.07499999999999996
1965.0,Male,51.0,55.0,5.4,5.6,0.1999999999999993,4.0,0.04999999999999982
1970.0,Female,46.0,50.0,4.6,4.9,0.3000000000000007,4.0,0.07500000000000018
1970.0,Male,46.0,50.0,5.3,5.6,0.2999999999999998,4.0,0.07499999999999996
1975.0,Female,41.0,45.0,4.6,4.6,0.0,4.0,0.0
1975.0,Male,41.0,44.5,5.1,5.1,0.0,3.5,0.0
1980.0,Female,36.0,40.0,4.5,4.6,0.09999999999999964,4.0,0.02499999999999991
1980.0,Male,36.0,40.0,5.1,5.0,-0.09999999999999964,4.0,-0.02499999999999991
1985.0,Female,31.0,35.0,4.4,4.55,0.14999999999999947,4.0,0.03749999999999987
1985.0,Male,31.0,35.0,5.3,5.0,-0.2999999999999998,4.0,-0.07499999999999996
1990.0,Female,26.0,30.0,4.4,4.6,0.1999999999999993,4.0,0.04999999999999982
1990.0,Male,26.0,30.0,5.1,4.9,-0.1999999999999993,4.0,-0.04999999999999982
1995.0,Female,21.0,25.0,4.5,4.3,-0.20000000000000018,4.0,-0.050000000000000044
1995.0,Male,21.0,25.0,5.3,4.9,-0.39999999999999947,4.0,-0.09999999999999987
2000.0,Female,18.0,19.0,4.6,4.3,-0.2999999999999998,1.0,-0.2999999999999998
2000.0,Male,18.0,19.0,4.8,4.9,0.10000000000000053,1.0,0.10000000000000053
