Cycle,Window,Def,Group,N,Deaths,PY,Risk,Rate/1000PY,d_Heart disease,d_Malignant neoplasms,d_Chronic lower resp.,d_Accidents,d_Cerebrovascular,d_Alzheimer's,d_Diabetes,d_Influenza/pneumonia,d_Nephritis,d_All other causes
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,172,22,322.2,0.1279,68.3,5,4,2,0,1,1,1,0,1,7
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3982,39,7928.4,0.0098,4.9,3,15,3,1,4,0,1,0,2,10
2007-2008,36,FIB4 ≥2.67 vs <1.30,Fibrosis+,172,31,469.0,0.1802,66.1,8,5,2,0,1,1,1,0,2,11
2007-2008,36,FIB4 ≥2.67 vs <1.30,Fibrosis-,3982,56,11861.6,0.0141,4.7,5,20,6,2,6,0,2,0,2,13
2011-2012,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,215,23,406.9,0.107,56.5,8,5,1,4,0,0,0,0,0,5
2011-2012,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,19,7029.8,0.0054,2.7,1,4,0,4,2,0,2,0,2,4
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis+,215,36,593.1,0.1674,60.7,14,6,1,5,0,0,0,2,1,7
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,38,10525.7,0.0108,3.6,6,11,0,5,3,0,2,0,2,9
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,189,26,300.2,0.1376,86.6,7,7,0,0,0,0,0,0,0,12
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3573,20,6195.7,0.0056,3.2,3,6,0,0,0,0,0,0,0,11
2017-2018,24,LSM Castera/EASL,Fibrosis+,386,18,654.7,0.0466,27.5,4,8,0,0,0,0,0,0,0,6
2017-2018,24,LSM Castera/EASL,Fibrosis-,4274,57,7367.8,0.0133,7.7,9,15,0,0,0,0,0,0,0,33
2017-2018,24,LSM Eddowes/NAFLD,Fibrosis+,370,17,627.2,0.0459,27.1,3,8,0,0,0,0,0,0,0,6
2017-2018,24,LSM Eddowes/NAFLD,Fibrosis-,4536,61,7807.0,0.0134,7.8,10,16,0,0,0,0,0,0,0,35
