Cycle,Step,Covariates,N+ available,N- available,N matched pairs,Deaths(Fib+),Deaths(Fib-),RR,95% CI
2007-2008,Step 0: Crude,(none),172,3982,172 vs 3982,22,39,13.06,7.92–21.53
2007-2008,Step 1: Demographics,"AGE, FEMALE",172,3982,127,16,7,2.29,0.97–5.37
2007-2008,Step 2: + BMI,"AGE, FEMALE, BMXBMI",168,3928,129,13,4,3.25,1.09–9.7
2007-2008,Step 3: + SBP,"AGE, FEMALE, BMXBMI, SBP_MEAN",163,3777,123,13,3,4.33,1.27–14.83
2007-2008,Step 4: + Smoking,"AGE, FEMALE, BMXBMI, SBP_MEAN, SMOKE_EVER",163,3542,123,13,4,3.25,1.09–9.69
2007-2008,"Step 5: + LDL-C, FPG","AGE, FEMALE, BMXBMI, SBP_MEAN, SMOKE_EVER, LBDLDL, LBXGLU",79,1663,59,6,1,6.0,0.75–48.32
2011-2012,Step 0: Crude,(none),215,3523,215 vs 3523,23,19,19.84,10.98–35.85
2011-2012,Step 1: Demographics,"AGE, FEMALE",215,3523,120,8,5,1.6,0.54–4.75
2011-2012,Step 2: + BMI,"AGE, FEMALE, BMXBMI",207,3481,125,8,6,1.33,0.48–3.73
2011-2012,Step 3: + SBP,"AGE, FEMALE, BMXBMI, SBP_MEAN",201,3347,119,7,7,1.0,0.36–2.76
2011-2012,Step 4: + Smoking,"AGE, FEMALE, BMXBMI, SBP_MEAN, SMOKE_EVER",201,3097,118,8,7,1.14,0.43–3.05
2011-2012,"Step 5: + LDL-C, FPG","AGE, FEMALE, BMXBMI, SBP_MEAN, SMOKE_EVER, LBDLDL, LBXGLU",100,1480,65,3,2,1.5,0.26–8.68
2017-2018,Step 0: Crude,(none),189,3573,189 vs 3573,26,20,24.58,13.98–43.21
2017-2018,Step 1: Demographics,"AGE, FEMALE",189,3573,152,20,4,5.0,1.75–14.28
2017-2018,Step 2: + BMI,"AGE, FEMALE, BMXBMI",181,3534,141,16,3,5.33,1.59–17.9
2017-2018,Step 3: + SBP,"AGE, FEMALE, BMXBMI, SBP_MEAN",174,3390,133,13,2,6.5,1.5–28.25
2017-2018,Step 4: + Smoking,"AGE, FEMALE, BMXBMI, SBP_MEAN, SMOKE_EVER",174,3390,135,13,2,6.5,1.5–28.26
2017-2018,"Step 5: + LDL-C, FPG","AGE, FEMALE, BMXBMI, SBP_MEAN, SMOKE_EVER, LBDLDL, LBXGLU",87,1589,77,7,2,3.5,0.75–16.32
